id,created,uuid,parent_uuid,event,task_action,failed,changed,playbook,play,task,role,job_id,host_id,host_name
2025,2020-03-21 00:10:25.205519+00,2711da23-c5e5-40a0-85d3-918323d430ad,0242ac12-0005-71a9-9e8e-000000000021,runner_on_start,"""gather_facts""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Gathering Facts,"",74,1,host0320b
2026,2020-03-21 00:10:27.180256+00,42e80407-5461-40e3-a05d-ae2eae83471d,0242ac12-0005-71a9-9e8e-000000000021,runner_on_ok,"""gather_facts""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Gathering Facts,"",74,1,host0320b
2027,2020-03-21 00:10:27.616118+00,85996cd0-080c-44f9-8cee-c98ecd6173e4,0242ac12-0005-71a9-9e8e-000000000021,runner_on_ok,"""gather_facts""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Gathering Facts,"",74,2,host0320a
2028,2020-03-21 00:10:27.643871+00,20c58e9f-9a14-4b7a-8659-c7bf7498a5fe,0242ac12-0005-71a9-9e8e-00000000000f,runner_on_start,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,74,2,host0320a
2029,2020-03-21 00:10:27.642816+00,0242ac12-0005-71a9-9e8e-00000000000f,0242ac12-0005-71a9-9e8e-000000000007,playbook_on_task_start,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,74,,""
2030,2020-03-21 00:10:27.690611+00,2063ba3c-63bb-4b92-a499-5f4d2358b927,0242ac12-0005-71a9-9e8e-00000000000f,runner_on_start,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,74,1,host0320b
2031,2020-03-21 00:10:28.167122+00,5621300c-5065-4ee3-9170-6b277058ce8f,0242ac12-0005-71a9-9e8e-00000000000f,runner_on_ok,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,74,2,host0320a
2032,2020-03-21 00:10:28.225113+00,c3a9742c-e323-4566-9fe6-3c42180178dd,0242ac12-0005-71a9-9e8e-000000000010,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,2,host0320a
2033,2020-03-21 00:10:28.201608+00,e8fe6dd1-e7c2-49a4-894c-a4667f44efb8,0242ac12-0005-71a9-9e8e-00000000000f,runner_on_ok,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,74,1,host0320b
2034,2020-03-21 00:10:28.221137+00,0242ac12-0005-71a9-9e8e-000000000010,0242ac12-0005-71a9-9e8e-000000000007,playbook_on_task_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,,""
2035,2020-03-21 00:10:28.261845+00,7caf0d46-7f72-4d0e-a2ba-06e39c5d1334,0242ac12-0005-71a9-9e8e-000000000010,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,1,host0320b
2036,2020-03-21 00:10:28.932051+00,e6bd0322-7f7f-4f55-829b-87802f242a33,0242ac12-0005-71a9-9e8e-000000000010,runner_on_ok,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,1,host0320b
2037,2020-03-21 00:10:28.896214+00,af4f7f7f-3d3d-4180-8a80-96cd070b8464,0242ac12-0005-71a9-9e8e-000000000010,runner_on_ok,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,2,host0320a
2038,2020-03-21 00:10:28.970551+00,28c561ba-0348-4690-9680-db77efd8ce0c,0242ac12-0005-71a9-9e8e-000000000010,playbook_on_include,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,,""
2039,2020-03-21 00:10:28.99555+00,e2249203-b26a-4818-86f4-60c0a994892d,0242ac12-0005-71a9-9e8e-00000000004a,runner_on_start,"""package""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Install fail2ban.,geerlingguy.security,74,2,host0320a
2040,2020-03-21 00:10:28.994421+00,0242ac12-0005-71a9-9e8e-00000000004a,0242ac12-0005-71a9-9e8e-000000000007,playbook_on_task_start,"""package""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Install fail2ban.,geerlingguy.security,74,,""
2041,2020-03-21 00:10:29.046627+00,00317722-645b-4f85-bffb-7e14bbfb0e4b,0242ac12-0005-71a9-9e8e-00000000004a,runner_on_start,"""package""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Install fail2ban.,geerlingguy.security,74,1,host0320b
2042,2020-03-21 00:10:30.555741+00,2253c4fb-deaa-408c-a77d-833378b0ee36,0242ac12-0005-71a9-9e8e-00000000004a,runner_on_ok,"""package""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Install fail2ban.,geerlingguy.security,74,1,host0320b
2043,2020-03-21 00:10:30.763682+00,066ece94-5ca5-4ff0-af1f-76c76778a97a,0242ac12-0005-71a9-9e8e-00000000004a,runner_on_ok,"""package""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Install fail2ban.,geerlingguy.security,74,2,host0320a
2044,2020-03-21 00:10:30.784828+00,cb52db8e-c929-40b0-8394-e15341cc8a4b,0242ac12-0005-71a9-9e8e-000000000011,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,2,host0320a
2045,2020-03-21 00:10:30.783764+00,0242ac12-0005-71a9-9e8e-000000000011,0242ac12-0005-71a9-9e8e-000000000007,playbook_on_task_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,,""
2046,2020-03-21 00:10:30.830966+00,9722d16a-5ad2-40c1-a163-b94b5cd6ee05,0242ac12-0005-71a9-9e8e-000000000011,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,1,host0320b
2047,2020-03-21 00:10:31.470423+00,e2860f7d-1a04-4ac5-8ade-d7d85f3eed1d,0242ac12-0005-71a9-9e8e-000000000012,runner_on_start,"""service""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Ensure fail2ban is running and enabled on boot.,geerlingguy.security,74,2,host0320a
2048,2020-03-21 00:10:31.426266+00,99b6d107-71fa-4aa0-be62-34bec1c51578,0242ac12-0005-71a9-9e8e-000000000011,runner_on_skipped,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,2,host0320a
2049,2020-03-21 00:10:31.45241+00,60332003-e3fc-42be-97b7-c27a900fd6f4,0242ac12-0005-71a9-9e8e-000000000011,runner_on_skipped,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,74,1,host0320b
